Judul; Anggaran Pendapatan Belanja Daerah;;
Daerah; Kota Yogyakarta;;
Tahun;;;
Kode Organisasi;1.06.01;;
Nama Organisasi;Badan Perencanaan Pembangunan Daerah;;
Kolom;4;;
KODE REKENING ;URAIAN ;ANGGARAN ;PENJELASAN
1.06.1.06.01.02.03.5.2.3;BELANJA MODAL;65000000;
1.06.1.06.01.02.03.5.2.3.26;Belanja Modal Pengadaan Konstruksi/Pembelian*) Bangunan;65000000;
1.06.1.06.01.02.03.5.2.3.26.15;Belanja Modal Pengadaan Konstruksi/Pembelian Taman Kota;65000000;Belanja Modal Pengadaan Konstruksi/Pembelian Taman Kota 65.000.000
1.06.1.06.01.02.05;Pemeliharaan rutin/berkala kendaraan dinas/operasional;115904000;
1.06.1.06.01.02.05.5.2.2;BELANJA BARANG DAN JASA;115904000;
1.06.1.06.01.02.05.5.2.2.05;Belanja Perawatan Kendaraan Bermotor;115904000;
1.06.1.06.01.02.05.5.2.2.05.01;Belanja Jasa Service;5280000;Belanja Jasa Service 5.280.000
1.06.1.06.01.02.05.5.2.2.05.02;Belanja  Penggantian Suku Cadang;23970000;Belanja  Penggantian Suku Cadang 23.970.000
1.06.1.06.01.02.05.5.2.2.05.03;Belanja Bahan Bakar Minyak/Gas Dan Pelumas;71654000;Belanja Bahan Bakar Minyak/Gas Dan Pelumas 71.654.000
1.06.1.06.01.02.05.5.2.2.05.08;Belanja Perawatan Kendaraan Bermotor;15000000;Belanja Perawatan Kendaraan Bermotor 15.000.000
1.06.1.06.01.05.00;Program Peningkatan Kapasitas Sumber Daya Aparatur;28390000;
1.06.1.06.01.05.01;Pendidikan dan pelatihan formal;28390000;
1.06.1.06.01.05.01.5.2.2;BELANJA BARANG DAN JASA;28390000;
1.06.1.06.01.05.01.5.2.2.17;Belanja Kursus, Pelatihan, Sosialisasi Dan Bimbingan Teknis PNS;28390000;
1.06.1.06.01.05.01.5.2.2.17.04;Belanja Pengembangan SDM;28390000;Belanja Pengembangan SDM 28.390.000
1.06.1.06.01.06.00;Program Peningkatan Pengembangan Sistem Pelaporan Capaian Kinerja dan  Keuangan;32500000;
1.06.1.06.01.06.01;Penyusunan laporan capaian kinerja dan ikhtisar realisasi kinerja SKPD;32500000;
1.06.1.06.01.06.01.5.2.1;BELANJA PEGAWAI;20600000;
1.06.1.06.01.06.01.5.2.1.01;Honorarium PNS;11000000;
1.06.1.06.01.06.01.5.2.1.01.01;Honorarium Panitia Pelaksana Kegiatan;11000000;Honorarium Panitia Pelaksana Kegiatan 11.000.000
1.06.1.06.01.06.01.5.2.1.03;Uang Lembur;9600000;
1.06.1.06.01.06.01.5.2.1.03.01;Uang Lembur PNS;9600000;Uang Lembur PNS 9.600.000
1.06.1.06.01.06.01.5.2.2;BELANJA BARANG DAN JASA;11900000;
1.06.1.06.01.06.01.5.2.2.06;Belanja Cetak Dan Penggandaan;2730000;
1.06.1.06.01.06.01.5.2.2.06.01;Belanja Cetak;750000;Belanja Cetak 750.000
1.06.1.06.01.06.01.5.2.2.06.02;Belanja Penggandaan;1980000;Belanja Penggandaan 1.980.000
1.06.1.06.01.06.01.5.2.2.11;Belanja Makanan Dan Minuman;9170000;
1.06.1.06.01.06.01.5.2.2.11.02;Belanja Makanan Dan Minuman Rapat;9170000;Belanja Makanan Dan Minuman Rapat 9.170.000
