Judul,REALISASIAPBD,,,,,,
Daerah,PROVINSI,,,,,,
Tahun,2014,,,,,,
KodeOrganisasi,1.13.01–DINASSOSIAL,,,,,,
Kolom,8,,,,,,
,,,,,,,
NOREKENING,URAIAN,PEGAWAI,BARANG&JASA,MODAL,JUMLAH,Rp,(%)
1.19.1.13.01.01.18.01,FasilitasiPencapaianHalaqohdanBerbagaiForumKeagamaanLainnyaDalamUpayaPeningkatanWawasanKebangsaan,38145000,780910000,,819055000,,
,,,,,,(50,737,650.00),93.81
,,,,,,,
,,36285000,732032350,,768317350,,
,,,,,,,
,,,,,,,
1.19.1.13.01.01.18.09,PenyelenggaraanFestivalAnakSholeh,2570000,157180000,,159750000,,
,,,,,,(6,260,000.00),96.08
,,2570000,150920000,,153490000,,
,,,,,,,
,,,,,,,
1.19.1.13.01.01.18.10,FasilitasiPemeliharaanMakamPahlawandanMonumen,,13800000,6500000,20300000,,
,,,,,,(50,000.00),99.75
,,,13800000,6450000,20250000,,
,,,,,,,
,,,,,,,
1.19.1.13.01.01.18.11,PemberdayaanKaumRoisdanPenjagaMasjid,17600000,473197000,,490797000,,
,,,,,,(11,970,000.00),97.56
,,17600000,461227000,,478827000,,
,,,,,,,
,,,,,,,
1.19.1.13.01.01.18.12,PelatihanManajemenPengelolaTempatIbadah,9365000,610175000,,619540000,,
,,,,,,(1,737,000.00),99.72
,,9365000,608438000,,617803000,,
,,,,,,,
,,,,,,,
1.19.1.13.01.01.20,ProgramPeningkatanPemberantasanPenyakitMasyarakat(Pekat),6240000,88760000,,95000000,,
,,,,,,0.00,100.00
,,6240000,88760000,,95000000,,
,,,,,,,
,,,,,,,
1.19.1.13.01.01.20.01,PenyuluhanPencegahanPeredaran/PenggunaanMinumanKerasdanNarkoba,6240000,88760000,,95000000,,
,,,,,,0.00,100.00
,,,,,,,
,,6240000,88760000,,95000000,,
,,,,,,,
,,,,,,,
1.19.1.13.01.01.22,ProgramPencegahanDinidanPenanggulanganKorbanBencanaAlam,3850000,19700000,15950000,39500000,,
,,,,,,(3,665,000.00),90.72
,,3850000,16035000,15950000,35835000,,
,,,,,,,
,,,,,,,
1.19.1.13.01.01.22.13,FasilitasiPemantauandanPenyaluranBencanaAlam,3850000,19700000,15950000,39500000,,
,,,,,,(3,665,000.00),90.72
,,3850000,16035000,15950000,35835000,,
,,,,,,,
,,,,,,,
,,,,,,,
,JUMLAH,216190000,5230609000,235750000,5682549000,,
,,,,,,(2,147,556.00),96.23
,,210165000,5024922744,233453700,5468541444,,
,,,,,,,
,,,,,,,
,,,,,,,S
