Judul;BAPPEDA;;;
Kode  ORGANISASI : ;1.06.01;;;
tahun;2016;;;
kabupaten;kota;;;
;;;;
;;;;
No rekening;Uraian;anggaran;penjelasan;
1.06.1.06.01.042.001.5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;211275000;Honorarium Panitia Pelaksana Kegiatan 211275000;
1.06.1.06.01.042.001.5.2.1.02 ;Honorarium Non PNS ;18625000;;
1.06.1.06.01.042.001.5.2.1.02.01 ;Honorarium Panitia Pelaksana Kegiatan ;10925000;Honorarium Panitia Pelaksana Kegiatan 7700000;
1.06.1.06.01.042.001.5.2.1.02.03 ;Honorarium Pelaksana Kegiatan ;10151618359;Honorarium Pelaksana Kegiatan 10925000;
1.06.1.06.01.042.001.5.2.2 ;BELANJA BARANG DAN JASA ;271003450;;
1.06.1.06.01.042.001.5.2.2.03 ;Belanja Jasa Kantor ;19931450;;
1.06.1.06.01.042.001.5.2.2.03.27 ;Belanja Jasa Penyedia /Tenaga Teknis ;19931450;Belanja Jasa Penyedia /Tenaga Teknis 19931450;
1.06.1.06.01.042.001.5.2.2.06 ;Belanja Cetak Dan Penggandaan ;57360000;;
1.06.1.06.01.042.001.5.2.2.06.02 ;Belanja Penggandaan ;57360000;Belanja Penggandaan 57360000;
1.06.1.06.01.042.001.5.2.2.11 ;Belanja Makanan Dan Minuman ;47450000;;
1.06.1.06.01.042.001.5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;47450000;Belanja Makanan Dan Minuman Rapat 47450000;
1.06.1.06.01.042.001.5.2.2.21 ;Belanja Jasa Konsultansi ;100000000;;
1.06.1.06.01.042.001.5.2.2.21.01 ;Belanja Jasa Konsultansi Penelitian ;100000000;Belanja Jasa Konsultansi Penelitian 100000000;
1.06.1.06.01.042.001.5.2.2.31 ;Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ;46262000;;
1.06.1.06.01.042.001.5.2.2.31.01 ;Belanja Jasa Tenaga Ahli ;31062000;Belanja Jasa Tenaga Ahli 31062000;
1.06.1.06.01.042.001.5.2.2.31.03 ;Belanja Jasa Narasumber ;15200000;Belanja Jasa Narasumber 15200000;
1.06.1.06.01.042.002 ;Pelaksanaan Musyawarah Pembangunan ;476561450;;
1.06.1.06.01.042.002.5.2.1 ;BELANJA PEGAWAI ;199075000;;
1.06.1.06.01. 42.002.5.2.1.01 ;Honorarium PNS ;182125000;;
