Judul;Penjabaran Anggaran Pendaptan Belanja Daerah;;
1.17.1.17.01.001.020.5.2.2 ;BELANJA BARANG DAN JASA ;80064000;
1.17.1.17.01.001.020.5.2.2.03 ;Belanja Jasa Kantor ;80064000;
1.17.1.17.01.001.020.5.2.2.03.20 ;Belanja Jasa Keamanan ;80064000;Belanja Jasa Keamanan 80064000
1.17.1.17.01.002 ;Program Peningkatan Sarana dan Prasarana Aparatur ;170814250;
1.17.1.17.01.002.022 ;Pemeliharaan Rutin/Berkala Gedung Kantor ;25965000;
1.17.1.17.01.002.022.5.2.1 ;BELANJA PEGAWAI ;640000;
1.17.1.17.01.002.022.5.2.1.01 ;Honorarium PNS ;640000;
1.17.1.17.01.002.022.5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;400000;Honorarium Panitia Pelaksana Kegiatan 400000
1.17.1.17.01.002.022.5.2.1.01.02 ;Honorarium Tim Pengadaan Barang dan Jasa ;240000;Honorarium Tim Pengadaan Barang dan Jasa 240000
1.17.1.17.01.002.022.5.2.2 ;BELANJA BARANG DAN JASA ;25325000;
1.17.1.17.01.002.022.5.2.2.02 ;Belanja Bahan/Material ;1245000;
1.17.1.17.01.002.022.5.2.2.02.01 ;Belanja Bahan Baku Bangunan ;1245000;Belanja Bahan Baku Bangunan 1245000
1.17.1.17.01.002.022.5.2.2.03 ;Belanja Jasa Kantor ;1730000;
1.17.1.17.01.002.022.5.2.2.03.27 ;Belanja Jasa Penyedia /Tenaga Teknis ;1730000;Belanja Jasa Penyedia /Tenaga Teknis 1730000
1.17.1.17.01.002.022.5.2.2.20 ;Belanja Pemeliharaan ;22350000;
1.17.1.17.01.002.022.5.2.2.20.03 ;Belanja Pemeliharaan Bangunan Pemerintah ;22000000;Belanja Pemeliharaan Bangunan Pemerintah 22000000
1.17.1.17.01.002.022.5.2.2.20.05 ;Belanja Pemeliharaan Taman ;350000;Belanja Pemeliharaan Taman 350000
1.17.1.17.01.002.024 ;Pemeliharaan Rutin/Berkala Kendaraan Dinas/Operasional ;144849250;
1.17.1.17.01.002.024.5.2.2 ;BELANJA BARANG DAN JASA ;144849250;
1.17.1.17.01.002.024.5.2.2.05 ;Belanja Perawatan Kendaraan Bermotor ;144849250;
1.17.1.17.01.002.024.5.2.2.05.01 ;Belanja Jasa Service ;8560000;Belanja Jasa Service 8560000
1.17.1.17.01.002.024.5.2.2.05.02 ;Belanja  Penggantian Suku Cadang ;26813250;Belanja  Penggantian Suku Cadang 26813250
1.17.1.17.01.002.024.5.2.2.05.03 ;Belanja Bahan Bakar Minyak/Gas Dan Pelumas ;109476000;Belanja Bahan Bakar Minyak/Gas Dan Pelumas 109476000
1.17.1.17.01.006 ;Program Peningkatan Pengembangan Sistem Pelaporan Capaian Kinerja dan Keuangan;26479000;
1.17.1.17.01.006.001 ;Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD ;26479000;
1.17.1.17.01.006.001.5.2.1 ;BELANJA PEGAWAI ;10720000;
1.17.1.17.01.006.001.5.2.1.01 ;Honorarium PNS ;10720000;
1.17.1.17.01.006.001.5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;10720000;Honorarium Panitia Pelaksana Kegiatan 10720000
1.17.1.17.01.006.001.5.2.2 ;BELANJA BARANG DAN JASA ;15759000;
1.17.1.17.01.006.001.5.2.2.01 ;Belanja Bahan Pakai Habis ;600000;
1.17.1.17.01.006.001.5.2.2.01.01 ;Belanja  Alat Tulis Kantor ;600000;Belanja  Alat Tulis Kantor 600000
1.17.1.17.01.006.001.5.2.2.06 ;Belanja Cetak Dan Penggandaan ;6621000;
1.17.1.17.01.006.001.5.2.2.06.02 ;Belanja Penggandaan ;6621000;Belanja Penggandaan 6621000
1.17.1.17.01.006.001.5.2.2.11 ;Belanja Makanan Dan Minuman ;4488000;
1.17.1.17.01.006.001.5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;4488000;Belanja Makanan Dan Minuman Rapat 4488000
1.17.1.17.01.006.001.5.2.2.31 ;Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ;4050000;
1.17.1.17.01.006.001.5.2.2.31.03 ;Belanja Jasa Narasumber ;3600000;Belanja Jasa Narasumber 3600000
1.17.1.17.01.006.001.5.2.2.31.04 ;Belanja Jasa Moderator ;450000;Belanja Jasa Moderator 450000
1.17.1.17.01.071 ;Program Pembinaan Pelestarian dan Pengembangan Nilai-Nilai Seni dan Cagar  Budaya;1869929173;
1.17.1.17.01.071.001 ;Pembinaan Pengembangan dan Pelestarian Nilai-nilai Budaya ;733167500;
1.17.1.17.01.071.001.5.2.1 ;BELANJA PEGAWAI ;54175000;
1.17.1.17.01.071.001.5.2.1.01 ;Honorarium PNS ;37375000;
1.17.1.17.01.071.001.5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;37050000;Honorarium Panitia Pelaksana Kegiatan 37050000
1.17.1.17.01.071.001.5.2.1.01.02 ;Honorarium Tim Pengadaan Barang dan Jasa ;325000;Honorarium Tim Pengadaan Barang dan Jasa 325000
1.17.1.17.01.071.001.5.2.1.02 ;Honorarium Non PNS ;16800000;
1.17.1.17.01.071.001.5.2.1.02.01 ;Honorarium Panitia Pelaksana Kegiatan ;16800000;Honorarium Panitia Pelaksana Kegiatan 16800000
1.17.1.17.01.071.001.5.2.2 ;BELANJA BARANG DAN JASA ;678992500;
1.17.1.17.01.071.001.5.2.2.01 ;Belanja Bahan Pakai Habis ;2327500;
