Judul,Ringkasan Perubahan Apbd Menurut Urusan Pemerintahan Daerah Dan Organisasi
Daerah,Kabupaten Kulon Progo
Tahun,2014
Kode Organisasi
Kolom


Kode,Urusan Pemerintahan Daerah,Pendapatan,,,,Belanja,,,,,,,
,,Sebelum Perubahan,Setelah Perubahan,Bertambah / Berkurang,,Sebelum Perubahan,,,Setelah Perubahan,,,Bertambah / berkurang,
,,,,,,Tidak Langsung,Langsung,Jumlah Belanja,Tidak Langsung,Langsung,Jumlah Belanja
1.21 . 1.21.01 ,Kantor Ketahanan Pangan dan Penyuluhan Pertanian ,4000000.00,4000000.00,0.00,0.00,6113525480.00,1349396910.00,7462922390.00,6760629370.00,1383643310.00,8144272680.00,681350290.00,9.13
,Perikanan dan Kehutanan
1.22,Pemberdayaan Masyarakat Desa ,0.00,0.00,0.00,0.00,5326669513.00,6881254750.00,12207924263.00,5577731396.00,7359116350.00,12936847746.00,728923483.00,5.97
1.22 . 1.22.01 ,Badan Pemberdayaan Masyarakat Pemerintahan Desa ,0.00,0.00,0.00,0.00,5326669513.00,6881254750.00,12207924263.00,5577731396.00,7359116350.00,12936847746.00,728923483.00,5.97
,Perempuan dan Keluarga Berencana
1.23,Statistik ,0.00,0.00,0.00,0.00,0.00,600624700.00,600624700.00,0.00,650289700.00,650289700.00,49665000.00,8.27
1.23 . 1.06.01 ,Badan Perencanaan Pembangunan Daerah ,0.00,0.00,0.00,0.00,0.00,600624700.00,600624700.00,0.00,650289700.00,650289700.00,49665000.00,8.27
1.24,Kearsipan ,0.00,0.00,0.00,0.00,0.00,185314400.00,185314400.00,0.00,219314400.00,219314400.00,34000000.00,18.35
1.24 . 1.26.01 ,Kantor Perpustakaan dan Arsip ,0.00,0.00,0.00,0.00,0.00,185314400.00,185314400.00,0.00,219314400.00,219314400.00,34000000.00,18.35
1.25,Komunikasi dan Informatika ,0.00,0.00,0.00,0.00,0.00,122521350.00,122521350.00,0.00,93021350.00,93021350.00,-29500000.00,-24.08
1.25 . 1.07.01 ,Dinas Perhubungan Komunikasi dan Informatika ,0.00,0.00,0.00,0.00,0.00,122521350.00,122521350.00,0.00,93021350.00,93021350.00,-29500000.00,-24.08
1.26,Perpustakaan ,0.00,0.00,0.00,0.00,1896073682.00,541736200.00,2437809882.00,1802352687.00,575734040.00,2378086727.00,-59723155.00,-2.45
1.26 . 1.26.01 ,Kantor Perpustakaan dan Arsip ,0.00,0.00,0.00,0.00,1896073682.00,541736200.00,2437809882.00,1802352687.00,575734040.00,2378086727.00,-59723155.00,-2.45
2,Urusan Pilihan ,1524129800.00,1336715500.00,-187414300.00,-12.30,15872502507.00,25107872709.00,40980375216.00,15619587144.00,27646895378.00,43266482522.00,2286107306.00,5.58
2.01,Pertanian ,34000000.00,34000000.00,0.00,0.00,4854492597.00,8966733360.00,13821225957.00,4363012926.00,9966535910.00,14329548836.00,508322879.00,3.68
2.01 . 2.01.01 ,Dinas Pertanian dan Kehutanan ,34000000.00,34000000.00,0.00,0.00,4854492597.00,6168472560.00,11022965157.00,4363012926.00,7079500110.00,11442513036.00,419547879.00,3.81
2.01 . 2.05.02 ,"Dinas Kelautan, Perikanan dan Peternakan ",0.00,0.00,0.00,0.00,0.00,2798260800.00,2798260800.00,0.00,2887035800.00,2887035800.00,88775000.00,3.17
2.02,Kehutanan ,0.00,0.00,0.00,0.00,0.00,1412385880.00,1412385880.00,0.00,1501635880.00,1501635880.00,89250000.00,6.32
2.02 . 2.01.01 ,Dinas Pertanian dan Kehutanan ,0.00,0.00,0.00,0.00,0.00,1412385880.00,1412385880.00,0.00,1501635880.00,1501635880.00,89250000.00,6.32
2.03,Energi dan Sumberdaya Mineral ,0.00,0.00,0.00,0.00,0.00,362901400.00,362901400.00,0.00,556483700.00,556483700.00,193582300.00,53.34
2.03 . 2.06.01 ,"Dinas Perindustrian, Perdagangan dan ESDM ",0.00,0.00,0.00,0.00,0.00,362901400.00,362901400.00,0.00,556483700.00,556483700.00,193582300.00,53.34
2.04,Pariwisata ,0.00,0.00,0.00,0.00,0.00,1456836200.00,1456836200.00,0.00,1525456200.00,1525456200.00,68620000.00,4.71
2.04 . 1.17.01 ,Dinas Kebudayaan Pariwisata Pemuda dan Olah Raga ,0.00,0.00,0.00,0.00,0.00,1456836200.00,1456836200.00,0.00,1525456200.00,1525456200.00,68620000.00,4.71
2.05,Kelautan dan Perikanan ,251212000.00,224107500.00,-27104500.00,-10.79,5940433872.00,6237017752.00,12177451624.00,5988197385.00,6429886752.00,12418084137.00,240632513.00,1.98
2.05 . 2.05.02 ,"Dinas Kelautan, Perikanan dan Peternakan ",251212000.00,224107500.00,-27104500.00,-10.79,5940433872.00,6237017752.00,12177451624.00,5988197385.00,6429886752.00,12418084137.00,240632513.00,1.98
2.06,Perdagangan ,1238917800.00,1078608000.00,-160309800.00,-12.94,5077576038.00,5733394967.00,10810971005.00,5268376833.00,6179276235.00,11447653068.00,636682063.00,5.89
2.06 . 2.06.01 ,"Dinas Perindustrian, Perdagangan dan ESDM ",1238917800.00,1078608000.00,-160309800.00,-12.94,5077576038.00,5733394967.00,10810971005.00,5268376833.00,6179276235.00,11447653068.00,636682063.00,5.89
2.07,Industri ,0.00,0.00,0.00,0.00,0.00,736303150.00,736303150.00,0.00,1265020701.00,1265020701.00,528717551.00,71.81
2.07 . 2.06.01 ,"Dinas Perindustrian, Perdagangan dan ESDM ",0.00,0.00,0.00,0.00,0.00,736303150.00,736303150.00,0.00,1265020701.00,1265020701.00,528717551.00,71.81
2.08,Ketransmigrasian ,0.00,0.00,0.00,0.00,0.00,202300000.00,202300000.00,0.00,222600000.00,222600000.00,20300000.00,10.03
2.08 . 1.14.01 ,"Dinas Sosial, Tenaga Kerja dan Transmigrasi ",0.00,0.00,0.00,0.00,0.00,202300000.00,202300000.00,0.00,222600000.00,222600000.00,20300000.00,10.03
,JUMLAH ,1031123944253.75,1088812577061.41,57688632807.66,5.59,708840112699.49,336714783267.00,1045554895966.49,761175560389.61,413453480748.00,1174629041137.61,129074145171.12,12.35
,
