Judul,Penjabaran Anggaran Pendapatan dan Belanja,,
Daerah,Kabupaten Sleman,,
Tahun,2016,,
Kode Organisasi,1.06.01.00,,
Nama Organisasi,Dinas Pendidikan Pemuda dan Olahraga,,
Kolom,4,,
Kode Rekening,URAIAN,JUMLAH,Keterangan
1.01.1.01.06.00.17.066.5.2.2,Belanja Barang Dan Jasa,169192500,
1.01.1.01.06.00.17.068,Penyelenggaraan akreditasi sekolah menengah,22553750,
1.01.1.01.06.00.17.068.5.2.1,Belanja Pegawai,17988750,
1.01.1.01.06.00.17.068.5.2.2,Belanja Barang Dan Jasa,4565000,
1.01.1.01.06.00.17.076,Pembangunan gedung dan ruang sekolah,1995500000,
1.01.1.01.06.00.17.076.5.2.3,Belanja Modal,1995500000,
1.01.1.01.06.00.17.077,Pengadaan sarana dan prasarana sekolah,137034000,
1.01.1.01.06.00.17.077.5.2.1,Belanja Pegawai,9964800,
1.01.1.01.06.00.17.077.5.2.2,Belanja Barang Dan Jasa,13786000,
1.01.1.01.06.00.17.077.5.2.3,Belanja Modal,113283200,
1.01.1.01.06.00.17.080,Rehabilitasi gedung dan ruang sekolah,419818000,
1.01.1.01.06.00.17.080.5.2.1,Belanja Pegawai,16149600,
1.01.1.01.06.00.17.080.5.2.2,Belanja Barang Dan Jasa,403668400,
1.01.1.01.06.00.17.081,Pelatihan kompetensi pendidik dan tenaga kependidikan,41367875,
1.01.1.01.06.00.17.081.5.2.1,Belanja Pegawai,6408000,
1.01.1.01.06.00.17.081.5.2.2,Belanja Barang Dan Jasa,34959875,
1.01.1.01.06.00.17.082,Penyelenggaraan Bantuan Operasional Sekolah Pendidikan Menengah,3793745000,
1.01.1.01.06.00.17.082.5.2.1,Belanja Pegawai,1235262000,
1.01.1.01.06.00.17.082.5.2.2,Belanja Barang Dan Jasa,1842075000,
1.01.1.01.06.00.17.082.5.2.3,Belanja Modal,716408000,
1.01.1.01.06.00.17.083,Pengelolaan Bantuan Siswa Miskin,54946000,
1.01.1.01.06.00.17.083.5.2.1,Belanja Pegawai,21456000,
1.01.1.01.06.00.17.083.5.2.2,Belanja Barang Dan Jasa,33490000,
1.01.1.01.06.00.18,Program Peningkatan Kualitas Pendidikan Non Formal,1634643800,
1.01.1.01.06.00.18.001,Pemberdayaan tenaga pendidik non formal,69088000,
1.01.1.01.06.00.18.001.5.2.1,Belanja Pegawai,4176000,
1.01.1.01.06.00.18.001.5.2.2,Belanja Barang Dan Jasa,64912000,
1.01.1.01.06.00.18.003,Pembinaan pendidikan kursus dan kelembagaan,95538500,
1.01.1.01.06.00.18.003.5.2.1,Belanja Pegawai,7380000,
1.01.1.01.06.00.18.003.5.2.2,Belanja Barang Dan Jasa,88158500,
1.01.1.01.06.00.18.004,Pengembangan pendidikan keaksaraan,114444650,
1.01.1.01.06.00.18.004.5.2.1,Belanja Pegawai,20592000,
1.01.1.01.06.00.18.004.5.2.2,Belanja Barang Dan Jasa,93852650,
1.01.1.01.06.00.18.005,Pengembangan pendidikan kecakapan hidup,319273500,
1.01.1.01.06.00.18.005.5.2.1,Belanja Pegawai,30307500,
1.01.1.01.06.00.18.005.5.2.2,Belanja Barang Dan Jasa,288966000,
1.01.1.01.06.00.18.006,Penyediaan sarana dan prasarana pendidikan non formal,307193650,
1.01.1.01.06.00.18.006.5.2.1,Belanja Pegawai,112285900,
1.01.1.01.06.00.18.006.5.2.2,Belanja Barang Dan Jasa,194907750,
1.01.1.01.06.00.18.010,Pengembangan sertifikasi pendidikan non formal,129953500,
1.01.1.01.06.00.18.010.5.2.1,Belanja Pegawai,9553500,
1.01.1.01.06.00.18.010.5.2.2,Belanja Barang Dan Jasa,120400000,
1.01.1.01.06.00.18.015,Pelayanan Perijinan Pendirian Sekolah Non Formal,30152000,
1.01.1.01.06.00.18.015.5.2.1,Belanja Pegawai,13608000,
1.01.1.01.06.00.18.015.5.2.2,Belanja Barang Dan Jasa,16544000,
1.01.1.01.06.00.18.016,Pembangunan gedung dan ruang Pendidikan Non Formal,569000000,
1.01.1.01.06.00.18.016.5.2.3,Belanja Modal,569000000,
1.01.1.01.06.00.20,Program Peningkatan Mutu Pendidik dan Tenaga Kependidikan,31656476375,
1.01.1.01.06.00.20.001,Pelaksanaan sertifikasi pendidik,215672900,
1.01.1.01.06.00.20.001.5.2.1,Belanja Pegawai,72513000,
1.01.1.01.06.00.20.001.5.2.2,Belanja Barang Dan Jasa,143159900,
1.01.1.01.06.00.20.002,Pelaksanaan uji kompetensi pendidik dan tenaga kependidikan,60296975,
1.01.1.01.06.00.20.002.5.2.1,Belanja Pegawai,26757000,
1.01.1.01.06.00.20.002.5.2.2,Belanja Barang Dan Jasa,33539975,
